3078572,1,-1,1803092
1803092,1,-1,526083
526083,3,-100,526083
526083,1,-100,526083
526083,3,-100,526083
526083,4,-1,6725093
6725093,2,-1,5453603
5453603,2,-1,4182113
4182113,4,-1,10381123
10381123,1,-1,9105613
9105613,5,-1,7830133
7830133,1,-1,6554624
6554624,2,-1,5283134
5283134,3,-1,4182144
4182144,4,-1,10381154
10381154,1,-1,9105645
9105645,3,-1,8004655
8004655,4,-1,14203665
14203665,4,-1,20402675
20402675,4,-1,26601685
26601685,2,-1,25330195
25330195,1,-1,24054686
24054686,1,-1,22779177
22779177,1,-1,21503668
21503668,1,-1,20228159
20228159,1,-1,18952679
18952679,1,1000000000000,17677170
11479591,3,-1,10378601
10378601,2,-1,9107051
9107051,1,-1,7831542
7831542,1,-1,6556033
6556033,4,-1,12755043
12755043,3,-1,11654053
11654053,4,-1,17853063
17853063,5,-1,16577583
16577583,2,-1,15306093
15306093,5,-1,14030613
14030613,1,-1,12755103
12755103,5,-1,11479623
11479623,3,-1,10378633
10378633,2,-1,9103153
9103153,2,-1,7831663
7831663,4,-1,14030673
14030673,3,-1,12929683
12929683,2,-1,11658193
11658193,3,-1,10557203
10557203,1,-1,9281694
9281694,2,-1,8010203
8010203,2,-1,6738713
6738713,3,-1,5637723
5637723,1,-1,4362214
4362214,5,-1,3086734
3086734,1,-1,1811225
1811225,1,-1,535716
535716,4,-1,6729726
6729726,1,-1,5454217
5454217,1,-1,4178708
4178708,1,-1,2903199
2903199,1,1000000000000,1627690
11479591,4,-1,17678601
17678601,2,-1,16407111
16407111,4,-1,22606121
22606121,2,-1,21330641
21330641,5,-1,20055161
20055161,3,-1,18954171
18954171,1,-1,17678662
17678662,1,-1,16403153
16403153,3,-1,15127673
15127673,4,-1,21326683
21326683,2,-1,20055193
20055193,1,-1,18779684
18779684,3,-1,17678694
17678694,2,-1,16407204
16407204,1,-1,15131695
15131695,3,-1,14030705
14030705,3,-1,12929715
12929715,4,-1,19128725
19128725,4,-1,25327734
25327734,2,-1,24056244
24056244,2,-1,22784754
22784754,1,-1,21509115
21509115,1,-1,20233606
20233606,1,-1,18958097
18958097,5,-1,17682617
17682617,1,-1,16407108
16407108,1,-1,15131598
15131598,4,-1,21330608
21330608,3,-1,20229618
20229618,1,-1,18954059
18954059,1,1000000000000,17678550
11479591,4,-1,17678601
17678601,4,-1,23877611
23877611,3,-1,22776621
22776621,3,-1,21675631
21675631,2,-1,20400151
20400151,2,-1,19128661
19128661,4,-1,25327671
25327671,3,-1,24052191
